Gene	Module	kME
ENSMUSG00000001999	P3_I9_M12	0.91
ENSMUSG00000002006	P3_I9_M1	0.91
ENSMUSG00000002007	P1_I9_M4	0.86
ENSMUSG00000002010	P8_I5_M2	0.93
ENSMUSG00000002012	P7_I7_M2	0.86
ENSMUSG00000002014	P6_I6_M11	0.82
ENSMUSG00000002015	P3_I9_M7	0.93
ENSMUSG00000002017	P4_I9_M22	0.86
ENSMUSG00000002020	P5_I8_M4	0.87
ENSMUSG00000002028	P6_I6_M1	0.94
ENSMUSG00000002031	P4_I9_M6	0.9
ENSMUSG00000002032	P1_I9_M2	0.93
ENSMUSG00000002033	P6_I6_M7	0.88
ENSMUSG00000002043	P3_I9_M8	0.85
ENSMUSG00000002052	P8_I5_M1	0.91
ENSMUSG00000002055	P5_I8_M10	0.95
ENSMUSG00000002058	P3_I9_M7	0.92
ENSMUSG00000002059	P3_I9_M2	0.95
ENSMUSG00000002064	P3_I9_M12	0.91
ENSMUSG00000002068	P2_I12_M1	0.91
ENSMUSG00000002076	UNCLASSIFIED	NA
ENSMUSG00000002083	UNCLASSIFIED	NA
ENSMUSG00000002100	UNCLASSIFIED	NA
ENSMUSG00000002102	P3_I9_M7	0.85
ENSMUSG00000002103	P4_I9_M7	0.91
ENSMUSG00000002104	P1_I9_M4	0.95
ENSMUSG00000002105	P1_I9_M1	0.92
ENSMUSG00000002107	P5_I8_M1	0.93
ENSMUSG00000002108	UNCLASSIFIED	NA
ENSMUSG00000002109	P3_I9_M4	0.91
ENSMUSG00000002111	P2_I12_M1	0.94
ENSMUSG00000002129	P4_I9_M7	0.9
ENSMUSG00000002147	P1_I9_M1	0.91
ENSMUSG00000002204	P4_I9_M10	0.87
ENSMUSG00000002205	P3_I9_M10	0.86
ENSMUSG00000002210	P2_I12_M7	0.91
ENSMUSG00000002221	P4_I9_M9	0.9
ENSMUSG00000002222	UNCLASSIFIED	NA
ENSMUSG00000002227	UNCLASSIFIED	NA
ENSMUSG00000002228	P1_I9_M4	0.87
ENSMUSG00000002233	P2_I12_M4	0.94
ENSMUSG00000002249	P3_I9_M1	0.84
ENSMUSG00000002250	P1_I9_M1	0.89
ENSMUSG00000002257	P9_I6_M2	0.91
ENSMUSG00000002265	UNCLASSIFIED	NA
ENSMUSG00000002266	UNCLASSIFIED	NA
ENSMUSG00000002274	P3_I9_M7	0.89
ENSMUSG00000002279	UNCLASSIFIED	NA
ENSMUSG00000002280	P5_I8_M4	0.82
ENSMUSG00000002289	UNCLASSIFIED	NA
ENSMUSG00000002297	P5_I8_M10	0.92
ENSMUSG00000002307	P1_I9_M1	0.92
ENSMUSG00000002308	P5_I8_M2	0.92
ENSMUSG00000002319	P1_I9_M1	0.91
ENSMUSG00000002320	P5_I8_M9	0.91
ENSMUSG00000002324	UNCLASSIFIED	NA
ENSMUSG00000002325	UNCLASSIFIED	NA
ENSMUSG00000002326	P1_I9_M1	0.94
ENSMUSG00000002329	P1_I9_M1	0.93
ENSMUSG00000002332	P3_I9_M19	0.85
ENSMUSG00000002341	P5_I8_M14	0.93
ENSMUSG00000002342	P2_I12_M4	0.92
ENSMUSG00000002343	P3_I9_M10	0.93
ENSMUSG00000002345	P1_I9_M1	0.9
ENSMUSG00000002346	UNCLASSIFIED	NA
ENSMUSG00000002365	P1_I9_M1	0.93
ENSMUSG00000002372	P3_I9_M1	0.92
ENSMUSG00000002379	P12_I2_M1	0.92
ENSMUSG00000002384	UNCLASSIFIED	NA
ENSMUSG00000002393	P3_I9_M19	0.85
