Gene	Module	kME
ENSMUSG00000112876	UNCLASSIFIED	NA
ENSMUSG00000112879	UNCLASSIFIED	NA
ENSMUSG00000112880	UNCLASSIFIED	NA
ENSMUSG00000112887	UNCLASSIFIED	NA
ENSMUSG00000112889	UNCLASSIFIED	NA
ENSMUSG00000112891	UNCLASSIFIED	NA
ENSMUSG00000112892	UNCLASSIFIED	NA
ENSMUSG00000112894	UNCLASSIFIED	NA
ENSMUSG00000112895	UNCLASSIFIED	NA
ENSMUSG00000112901	UNCLASSIFIED	NA
ENSMUSG00000112902	UNCLASSIFIED	NA
ENSMUSG00000112907	P3_I9_M5	0.93
ENSMUSG00000112908	UNCLASSIFIED	NA
ENSMUSG00000112909	UNCLASSIFIED	NA
ENSMUSG00000112916	UNCLASSIFIED	NA
ENSMUSG00000112920	UNCLASSIFIED	NA
ENSMUSG00000112922	UNCLASSIFIED	NA
ENSMUSG00000112925	UNCLASSIFIED	NA
ENSMUSG00000112926	P3_I9_M5	0.97
ENSMUSG00000112932	UNCLASSIFIED	NA
ENSMUSG00000112937	UNCLASSIFIED	NA
ENSMUSG00000112941	UNCLASSIFIED	NA
ENSMUSG00000112950	UNCLASSIFIED	NA
ENSMUSG00000112953	UNCLASSIFIED	NA
ENSMUSG00000112959	P6_I6_M8	0.88
ENSMUSG00000112960	UNCLASSIFIED	NA
ENSMUSG00000112964	P2_I12_M2	0.87
ENSMUSG00000112968	UNCLASSIFIED	NA
ENSMUSG00000112969	P5_I8_M11	0.92
ENSMUSG00000112970	UNCLASSIFIED	NA
ENSMUSG00000112971	UNCLASSIFIED	NA
ENSMUSG00000112975	UNCLASSIFIED	NA
ENSMUSG00000112976	UNCLASSIFIED	NA
ENSMUSG00000112980	P3_I9_M5	0.92
ENSMUSG00000112983	UNCLASSIFIED	NA
ENSMUSG00000112985	UNCLASSIFIED	NA
ENSMUSG00000112990	UNCLASSIFIED	NA
ENSMUSG00000112991	UNCLASSIFIED	NA
ENSMUSG00000112992	UNCLASSIFIED	NA
ENSMUSG00000113002	UNCLASSIFIED	NA
ENSMUSG00000113003	P5_I8_M7	0.83
ENSMUSG00000113005	UNCLASSIFIED	NA
ENSMUSG00000113010	P3_I9_M11	0.87
ENSMUSG00000113014	UNCLASSIFIED	NA
ENSMUSG00000113015	UNCLASSIFIED	NA
ENSMUSG00000113017	UNCLASSIFIED	NA
ENSMUSG00000113019	UNCLASSIFIED	NA
ENSMUSG00000113029	UNCLASSIFIED	NA
ENSMUSG00000113030	P2_I12_M7	0.9
ENSMUSG00000113031	UNCLASSIFIED	NA
ENSMUSG00000113035	P5_I8_M9	0.89
ENSMUSG00000113036	UNCLASSIFIED	NA
ENSMUSG00000113037	UNCLASSIFIED	NA
ENSMUSG00000113039	UNCLASSIFIED	NA
ENSMUSG00000113045	UNCLASSIFIED	NA
ENSMUSG00000113047	P2_I12_M20	0.95
ENSMUSG00000113050	UNCLASSIFIED	NA
ENSMUSG00000113052	UNCLASSIFIED	NA
ENSMUSG00000113054	UNCLASSIFIED	NA
ENSMUSG00000113061	P2_I12_M6	0.89
ENSMUSG00000113063	P2_I12_M14	0.84
ENSMUSG00000113068	UNCLASSIFIED	NA
ENSMUSG00000113070	UNCLASSIFIED	NA
ENSMUSG00000113072	UNCLASSIFIED	NA
ENSMUSG00000113077	UNCLASSIFIED	NA
ENSMUSG00000113078	UNCLASSIFIED	NA
ENSMUSG00000113087	UNCLASSIFIED	NA
ENSMUSG00000113088	UNCLASSIFIED	NA
ENSMUSG00000113094	UNCLASSIFIED	NA
ENSMUSG00000113096	UNCLASSIFIED	NA
ENSMUSG00000113099	UNCLASSIFIED	NA
ENSMUSG00000113101	UNCLASSIFIED	NA
ENSMUSG00000113102	UNCLASSIFIED	NA
ENSMUSG00000113104	UNCLASSIFIED	NA
ENSMUSG00000113106	P1_I9_M3	0.98
ENSMUSG00000113113	UNCLASSIFIED	NA
ENSMUSG00000113123	UNCLASSIFIED	NA
ENSMUSG00000113125	UNCLASSIFIED	NA
ENSMUSG00000113128	UNCLASSIFIED	NA
ENSMUSG00000113131	P4_I9_M20	0.93
ENSMUSG00000113136	P1_I9_M5	0.95
ENSMUSG00000113137	UNCLASSIFIED	NA
ENSMUSG00000113138	UNCLASSIFIED	NA
ENSMUSG00000113140	UNCLASSIFIED	NA
ENSMUSG00000113143	UNCLASSIFIED	NA
ENSMUSG00000113147	UNCLASSIFIED	NA
ENSMUSG00000113149	UNCLASSIFIED	NA
ENSMUSG00000113151	UNCLASSIFIED	NA
ENSMUSG00000113157	P1_I9_M9	0.8
ENSMUSG00000113159	UNCLASSIFIED	NA
ENSMUSG00000113165	P3_I9_M3	0.87
ENSMUSG00000113170	UNCLASSIFIED	NA
ENSMUSG00000113174	UNCLASSIFIED	NA
ENSMUSG00000113178	P1_I9_M4	0.93
ENSMUSG00000113184	UNCLASSIFIED	NA
ENSMUSG00000113185	UNCLASSIFIED	NA
ENSMUSG00000113188	UNCLASSIFIED	NA
ENSMUSG00000113190	UNCLASSIFIED	NA
ENSMUSG00000113192	UNCLASSIFIED	NA
ENSMUSG00000113193	UNCLASSIFIED	NA
ENSMUSG00000113198	UNCLASSIFIED	NA
ENSMUSG00000113199	UNCLASSIFIED	NA
ENSMUSG00000113200	UNCLASSIFIED	NA
ENSMUSG00000113202	UNCLASSIFIED	NA
ENSMUSG00000113204	P3_I9_M9	0.87
ENSMUSG00000113209	UNCLASSIFIED	NA
ENSMUSG00000113210	UNCLASSIFIED	NA
ENSMUSG00000113212	UNCLASSIFIED	NA
ENSMUSG00000113214	UNCLASSIFIED	NA
ENSMUSG00000113222	UNCLASSIFIED	NA
ENSMUSG00000113223	UNCLASSIFIED	NA
ENSMUSG00000113224	UNCLASSIFIED	NA
ENSMUSG00000113234	UNCLASSIFIED	NA
ENSMUSG00000113236	UNCLASSIFIED	NA
ENSMUSG00000113238	UNCLASSIFIED	NA
ENSMUSG00000113239	UNCLASSIFIED	NA
ENSMUSG00000113241	UNCLASSIFIED	NA
ENSMUSG00000113245	UNCLASSIFIED	NA
ENSMUSG00000113249	UNCLASSIFIED	NA
ENSMUSG00000113252	UNCLASSIFIED	NA
ENSMUSG00000113255	P2_I12_M20	0.86
ENSMUSG00000113258	UNCLASSIFIED	NA
ENSMUSG00000113259	UNCLASSIFIED	NA
ENSMUSG00000113262	P7_I7_M3	0.87
ENSMUSG00000113263	UNCLASSIFIED	NA
ENSMUSG00000113268	UNCLASSIFIED	NA
ENSMUSG00000113274	UNCLASSIFIED	NA
ENSMUSG00000113275	UNCLASSIFIED	NA
ENSMUSG00000113278	P1_I9_M6	0.85
ENSMUSG00000113292	UNCLASSIFIED	NA
ENSMUSG00000113294	UNCLASSIFIED	NA
ENSMUSG00000113298	P2_I12_M2	0.8
ENSMUSG00000113302	UNCLASSIFIED	NA
ENSMUSG00000113303	UNCLASSIFIED	NA
ENSMUSG00000113305	UNCLASSIFIED	NA
ENSMUSG00000113310	UNCLASSIFIED	NA
ENSMUSG00000113311	P3_I9_M18	0.89
ENSMUSG00000113318	UNCLASSIFIED	NA
ENSMUSG00000113321	P4_I9_M20	0.87
ENSMUSG00000113328	P6_I6_M1	0.86
ENSMUSG00000113332	P5_I8_M11	0.89
ENSMUSG00000113334	UNCLASSIFIED	NA
ENSMUSG00000113335	UNCLASSIFIED	NA
ENSMUSG00000113338	UNCLASSIFIED	NA
ENSMUSG00000113341	UNCLASSIFIED	NA
ENSMUSG00000113344	UNCLASSIFIED	NA
ENSMUSG00000113346	P1_I9_M3	0.81
ENSMUSG00000113359	UNCLASSIFIED	NA
ENSMUSG00000113361	UNCLASSIFIED	NA
ENSMUSG00000113368	UNCLASSIFIED	NA
ENSMUSG00000113370	UNCLASSIFIED	NA
ENSMUSG00000113373	UNCLASSIFIED	NA
ENSMUSG00000113380	P6_I6_M8	0.91
ENSMUSG00000113383	UNCLASSIFIED	NA
ENSMUSG00000113385	UNCLASSIFIED	NA
ENSMUSG00000113389	UNCLASSIFIED	NA
ENSMUSG00000113390	UNCLASSIFIED	NA
ENSMUSG00000113392	UNCLASSIFIED	NA
ENSMUSG00000113396	UNCLASSIFIED	NA
ENSMUSG00000113399	UNCLASSIFIED	NA
ENSMUSG00000113402	UNCLASSIFIED	NA
ENSMUSG00000113403	UNCLASSIFIED	NA
ENSMUSG00000113404	UNCLASSIFIED	NA
ENSMUSG00000113407	UNCLASSIFIED	NA
ENSMUSG00000113409	UNCLASSIFIED	NA
ENSMUSG00000113411	P5_I8_M11	0.83
ENSMUSG00000113412	UNCLASSIFIED	NA
ENSMUSG00000113413	UNCLASSIFIED	NA
ENSMUSG00000113416	UNCLASSIFIED	NA
ENSMUSG00000113423	UNCLASSIFIED	NA
ENSMUSG00000113424	P3_I9_M5	0.8
ENSMUSG00000113425	UNCLASSIFIED	NA
ENSMUSG00000113427	UNCLASSIFIED	NA
ENSMUSG00000113428	UNCLASSIFIED	NA
ENSMUSG00000113431	UNCLASSIFIED	NA
ENSMUSG00000113432	UNCLASSIFIED	NA
ENSMUSG00000113434	UNCLASSIFIED	NA
ENSMUSG00000113439	UNCLASSIFIED	NA
ENSMUSG00000113440	UNCLASSIFIED	NA
ENSMUSG00000113441	P3_I9_M22	0.92
ENSMUSG00000113448	UNCLASSIFIED	NA
ENSMUSG00000113450	P1_I9_M1	0.86
ENSMUSG00000113466	UNCLASSIFIED	NA
ENSMUSG00000113467	UNCLASSIFIED	NA
ENSMUSG00000113472	UNCLASSIFIED	NA
ENSMUSG00000113473	UNCLASSIFIED	NA
ENSMUSG00000113475	UNCLASSIFIED	NA
ENSMUSG00000113484	UNCLASSIFIED	NA
ENSMUSG00000113488	UNCLASSIFIED	NA
ENSMUSG00000113491	P3_I9_M9	0.85
ENSMUSG00000113492	UNCLASSIFIED	NA
ENSMUSG00000113495	UNCLASSIFIED	NA
ENSMUSG00000113497	UNCLASSIFIED	NA
ENSMUSG00000113498	UNCLASSIFIED	NA
ENSMUSG00000113504	UNCLASSIFIED	NA
ENSMUSG00000113506	UNCLASSIFIED	NA
ENSMUSG00000113507	UNCLASSIFIED	NA
ENSMUSG00000113511	UNCLASSIFIED	NA
ENSMUSG00000113515	P2_I12_M3	0.8
ENSMUSG00000113519	P2_I12_M15	0.88
ENSMUSG00000113521	UNCLASSIFIED	NA
ENSMUSG00000113527	UNCLASSIFIED	NA
ENSMUSG00000113528	UNCLASSIFIED	NA
ENSMUSG00000113529	P2_I12_M13	0.89
ENSMUSG00000113535	UNCLASSIFIED	NA
ENSMUSG00000113536	UNCLASSIFIED	NA
ENSMUSG00000113543	P1_I9_M2	0.95
ENSMUSG00000113555	UNCLASSIFIED	NA
ENSMUSG00000113558	UNCLASSIFIED	NA
ENSMUSG00000113568	UNCLASSIFIED	NA
ENSMUSG00000113569	P10_I3_M1	0.83
ENSMUSG00000113570	UNCLASSIFIED	NA
ENSMUSG00000113571	UNCLASSIFIED	NA
ENSMUSG00000113574	UNCLASSIFIED	NA
ENSMUSG00000113581	P6_I6_M3	0.88
ENSMUSG00000113582	UNCLASSIFIED	NA
ENSMUSG00000113584	UNCLASSIFIED	NA
ENSMUSG00000113585	P9_I6_M5	0.83
ENSMUSG00000113587	P2_I12_M12	0.81
ENSMUSG00000113589	UNCLASSIFIED	NA
ENSMUSG00000113591	UNCLASSIFIED	NA
ENSMUSG00000113596	UNCLASSIFIED	NA
ENSMUSG00000113598	P1_I9_M7	0.86
ENSMUSG00000113600	P3_I9_M5	0.96
ENSMUSG00000113601	UNCLASSIFIED	NA
ENSMUSG00000113603	UNCLASSIFIED	NA
ENSMUSG00000113604	UNCLASSIFIED	NA
ENSMUSG00000113606	UNCLASSIFIED	NA
ENSMUSG00000113611	UNCLASSIFIED	NA
ENSMUSG00000113613	P2_I12_M16	0.83
ENSMUSG00000113615	UNCLASSIFIED	NA
ENSMUSG00000113616	P2_I12_M12	0.91
ENSMUSG00000113617	UNCLASSIFIED	NA
ENSMUSG00000113619	P3_I9_M3	0.85
ENSMUSG00000113622	P6_I6_M3	0.8
ENSMUSG00000113623	UNCLASSIFIED	NA
ENSMUSG00000113625	UNCLASSIFIED	NA
ENSMUSG00000113626	P3_I9_M13	0.9
ENSMUSG00000113629	UNCLASSIFIED	NA
ENSMUSG00000113630	UNCLASSIFIED	NA
ENSMUSG00000113632	UNCLASSIFIED	NA
ENSMUSG00000113634	UNCLASSIFIED	NA
ENSMUSG00000113636	UNCLASSIFIED	NA
ENSMUSG00000113637	P5_I8_M11	0.93
ENSMUSG00000113640	P5_I8_M4	0.82
ENSMUSG00000113642	P10_I3_M1	0.9
ENSMUSG00000113645	UNCLASSIFIED	NA
ENSMUSG00000113646	UNCLASSIFIED	NA
ENSMUSG00000113647	UNCLASSIFIED	NA
ENSMUSG00000113650	UNCLASSIFIED	NA
ENSMUSG00000113651	UNCLASSIFIED	NA
ENSMUSG00000113656	UNCLASSIFIED	NA
ENSMUSG00000113660	P2_I12_M10	0.95
ENSMUSG00000113662	P9_I6_M3	0.84
ENSMUSG00000113668	UNCLASSIFIED	NA
ENSMUSG00000113669	P1_I9_M5	0.85
ENSMUSG00000113670	P1_I9_M5	0.82
ENSMUSG00000113679	P3_I9_M7	0.91
ENSMUSG00000113681	UNCLASSIFIED	NA
ENSMUSG00000113682	P4_I9_M21	0.93
ENSMUSG00000113683	UNCLASSIFIED	NA
ENSMUSG00000113687	UNCLASSIFIED	NA
ENSMUSG00000113688	UNCLASSIFIED	NA
ENSMUSG00000113690	UNCLASSIFIED	NA
ENSMUSG00000113691	P5_I8_M11	0.88
ENSMUSG00000113694	UNCLASSIFIED	NA
ENSMUSG00000113696	UNCLASSIFIED	NA
ENSMUSG00000113701	UNCLASSIFIED	NA
ENSMUSG00000113702	UNCLASSIFIED	NA
ENSMUSG00000113707	UNCLASSIFIED	NA
ENSMUSG00000113722	UNCLASSIFIED	NA
ENSMUSG00000113724	UNCLASSIFIED	NA
ENSMUSG00000113725	P3_I9_M5	0.92
ENSMUSG00000113726	UNCLASSIFIED	NA
ENSMUSG00000113732	UNCLASSIFIED	NA
ENSMUSG00000113736	UNCLASSIFIED	NA
ENSMUSG00000113737	UNCLASSIFIED	NA
ENSMUSG00000113738	UNCLASSIFIED	NA
ENSMUSG00000113739	P4_I9_M21	0.94
ENSMUSG00000113740	UNCLASSIFIED	NA
ENSMUSG00000113741	UNCLASSIFIED	NA
ENSMUSG00000113743	UNCLASSIFIED	NA
ENSMUSG00000113746	UNCLASSIFIED	NA
ENSMUSG00000113749	UNCLASSIFIED	NA
ENSMUSG00000113750	P3_I9_M1	0.81
ENSMUSG00000113753	UNCLASSIFIED	NA
ENSMUSG00000113756	UNCLASSIFIED	NA
ENSMUSG00000113757	UNCLASSIFIED	NA
ENSMUSG00000113759	UNCLASSIFIED	NA
ENSMUSG00000113767	UNCLASSIFIED	NA
ENSMUSG00000113768	UNCLASSIFIED	NA
ENSMUSG00000113769	UNCLASSIFIED	NA
ENSMUSG00000113771	UNCLASSIFIED	NA
ENSMUSG00000113774	P6_I6_M8	0.8
ENSMUSG00000113775	UNCLASSIFIED	NA
ENSMUSG00000113778	UNCLASSIFIED	NA
ENSMUSG00000113780	UNCLASSIFIED	NA
ENSMUSG00000113781	UNCLASSIFIED	NA
ENSMUSG00000113786	P1_I9_M1	0.86
ENSMUSG00000113789	UNCLASSIFIED	NA
ENSMUSG00000113790	UNCLASSIFIED	NA
ENSMUSG00000113794	UNCLASSIFIED	NA
ENSMUSG00000113798	UNCLASSIFIED	NA
ENSMUSG00000113800	P1_I9_M2	0.89
ENSMUSG00000113804	UNCLASSIFIED	NA
ENSMUSG00000113811	UNCLASSIFIED	NA
ENSMUSG00000113816	UNCLASSIFIED	NA
ENSMUSG00000113819	UNCLASSIFIED	NA
ENSMUSG00000113831	UNCLASSIFIED	NA
ENSMUSG00000113836	P3_I9_M17	0.91
ENSMUSG00000113840	UNCLASSIFIED	NA
ENSMUSG00000113841	UNCLASSIFIED	NA
ENSMUSG00000113843	UNCLASSIFIED	NA
ENSMUSG00000113845	UNCLASSIFIED	NA
ENSMUSG00000113852	UNCLASSIFIED	NA
ENSMUSG00000113853	UNCLASSIFIED	NA
ENSMUSG00000113856	UNCLASSIFIED	NA
ENSMUSG00000113857	P3_I9_M10	0.85
ENSMUSG00000113861	UNCLASSIFIED	NA
ENSMUSG00000113862	UNCLASSIFIED	NA
ENSMUSG00000113865	UNCLASSIFIED	NA
ENSMUSG00000113866	P1_I9_M5	0.85
ENSMUSG00000113868	UNCLASSIFIED	NA
ENSMUSG00000113869	UNCLASSIFIED	NA
ENSMUSG00000113871	UNCLASSIFIED	NA
ENSMUSG00000113874	UNCLASSIFIED	NA
ENSMUSG00000113880	UNCLASSIFIED	NA
ENSMUSG00000113882	UNCLASSIFIED	NA
ENSMUSG00000113883	UNCLASSIFIED	NA
ENSMUSG00000113885	UNCLASSIFIED	NA
ENSMUSG00000113891	P3_I9_M19	0.82
ENSMUSG00000113894	UNCLASSIFIED	NA
ENSMUSG00000113895	UNCLASSIFIED	NA
ENSMUSG00000113898	UNCLASSIFIED	NA
ENSMUSG00000113899	UNCLASSIFIED	NA
ENSMUSG00000113900	UNCLASSIFIED	NA
ENSMUSG00000113902	P1_I9_M8	0.86
ENSMUSG00000113903	UNCLASSIFIED	NA
ENSMUSG00000113905	UNCLASSIFIED	NA
ENSMUSG00000113907	P4_I9_M13	0.86
ENSMUSG00000113909	UNCLASSIFIED	NA
ENSMUSG00000113913	UNCLASSIFIED	NA
ENSMUSG00000113918	UNCLASSIFIED	NA
ENSMUSG00000113926	UNCLASSIFIED	NA
ENSMUSG00000113931	UNCLASSIFIED	NA
ENSMUSG00000113934	P1_I9_M6	0.98
ENSMUSG00000113936	UNCLASSIFIED	NA
ENSMUSG00000113940	P1_I9_M4	0.87
ENSMUSG00000113946	UNCLASSIFIED	NA
ENSMUSG00000113948	P10_I3_M2	0.87
ENSMUSG00000113949	P4_I9_M2	0.96
ENSMUSG00000113950	UNCLASSIFIED	NA
ENSMUSG00000113957	UNCLASSIFIED	NA
ENSMUSG00000113959	UNCLASSIFIED	NA
ENSMUSG00000113964	UNCLASSIFIED	NA
ENSMUSG00000113965	UNCLASSIFIED	NA
ENSMUSG00000113966	UNCLASSIFIED	NA
ENSMUSG00000113977	UNCLASSIFIED	NA
ENSMUSG00000113980	UNCLASSIFIED	NA
ENSMUSG00000113986	P2_I12_M14	0.9
ENSMUSG00000113992	P6_I6_M6	0.81
ENSMUSG00000113995	UNCLASSIFIED	NA
ENSMUSG00000113996	UNCLASSIFIED	NA
ENSMUSG00000113998	UNCLASSIFIED	NA
ENSMUSG00000114003	P2_I12_M4	0.89
ENSMUSG00000114004	P2_I12_M5	0.81
ENSMUSG00000114007	UNCLASSIFIED	NA
ENSMUSG00000114014	UNCLASSIFIED	NA
ENSMUSG00000114016	UNCLASSIFIED	NA
ENSMUSG00000114018	UNCLASSIFIED	NA
ENSMUSG00000114019	P4_I9_M21	0.83
ENSMUSG00000114023	UNCLASSIFIED	NA
ENSMUSG00000114024	UNCLASSIFIED	NA
ENSMUSG00000114025	UNCLASSIFIED	NA
ENSMUSG00000114028	UNCLASSIFIED	NA
ENSMUSG00000114033	UNCLASSIFIED	NA
ENSMUSG00000114035	UNCLASSIFIED	NA
ENSMUSG00000114036	UNCLASSIFIED	NA
ENSMUSG00000114041	P5_I8_M4	0.8
ENSMUSG00000114042	UNCLASSIFIED	NA
ENSMUSG00000114045	UNCLASSIFIED	NA
ENSMUSG00000114046	P3_I9_M6	0.96
ENSMUSG00000114049	P1_I9_M3	0.98
ENSMUSG00000114050	UNCLASSIFIED	NA
ENSMUSG00000114051	P2_I12_M3	0.84
ENSMUSG00000114052	UNCLASSIFIED	NA
ENSMUSG00000114055	UNCLASSIFIED	NA
ENSMUSG00000114067	UNCLASSIFIED	NA
ENSMUSG00000114068	UNCLASSIFIED	NA
ENSMUSG00000114072	UNCLASSIFIED	NA
ENSMUSG00000114088	UNCLASSIFIED	NA
ENSMUSG00000114094	UNCLASSIFIED	NA
ENSMUSG00000114099	UNCLASSIFIED	NA
ENSMUSG00000114102	UNCLASSIFIED	NA
ENSMUSG00000114103	UNCLASSIFIED	NA
ENSMUSG00000114106	UNCLASSIFIED	NA
ENSMUSG00000114110	UNCLASSIFIED	NA
ENSMUSG00000114113	UNCLASSIFIED	NA
ENSMUSG00000114117	P5_I8_M11	0.9
ENSMUSG00000114125	UNCLASSIFIED	NA
ENSMUSG00000114127	UNCLASSIFIED	NA
ENSMUSG00000114129	UNCLASSIFIED	NA
ENSMUSG00000114133	P2_I12_M6	0.84
ENSMUSG00000114135	UNCLASSIFIED	NA
ENSMUSG00000114136	P5_I8_M1	0.81
ENSMUSG00000114138	P2_I12_M5	0.89
ENSMUSG00000114141	UNCLASSIFIED	NA
ENSMUSG00000114143	UNCLASSIFIED	NA
ENSMUSG00000114144	UNCLASSIFIED	NA
ENSMUSG00000114147	UNCLASSIFIED	NA
ENSMUSG00000114150	UNCLASSIFIED	NA
ENSMUSG00000114154	UNCLASSIFIED	NA
ENSMUSG00000114155	UNCLASSIFIED	NA
ENSMUSG00000114157	UNCLASSIFIED	NA
ENSMUSG00000114159	UNCLASSIFIED	NA
ENSMUSG00000114165	UNCLASSIFIED	NA
ENSMUSG00000114172	P1_I9_M1	0.87
ENSMUSG00000114177	UNCLASSIFIED	NA
ENSMUSG00000114178	P3_I9_M11	0.88
ENSMUSG00000114179	UNCLASSIFIED	NA
ENSMUSG00000114184	UNCLASSIFIED	NA
ENSMUSG00000114190	UNCLASSIFIED	NA
ENSMUSG00000114196	P1_I9_M3	0.94
ENSMUSG00000114197	UNCLASSIFIED	NA
ENSMUSG00000114206	UNCLASSIFIED	NA
ENSMUSG00000114209	UNCLASSIFIED	NA
ENSMUSG00000114210	P2_I12_M1	0.84
ENSMUSG00000114212	P5_I8_M7	0.92
ENSMUSG00000114213	UNCLASSIFIED	NA
ENSMUSG00000114217	UNCLASSIFIED	NA
ENSMUSG00000114220	P6_I6_M3	0.91
ENSMUSG00000114230	UNCLASSIFIED	NA
ENSMUSG00000114232	UNCLASSIFIED	NA
ENSMUSG00000114234	UNCLASSIFIED	NA
ENSMUSG00000114235	UNCLASSIFIED	NA
ENSMUSG00000114238	UNCLASSIFIED	NA
ENSMUSG00000114241	UNCLASSIFIED	NA
ENSMUSG00000114243	UNCLASSIFIED	NA
ENSMUSG00000114244	P3_I9_M22	0.86
ENSMUSG00000114245	P1_I9_M3	0.95
ENSMUSG00000114246	P6_I6_M8	0.84
ENSMUSG00000114247	P1_I9_M2	0.94
ENSMUSG00000114251	P9_I6_M2	0.84
ENSMUSG00000114253	P6_I6_M1	0.92
ENSMUSG00000114254	UNCLASSIFIED	NA
ENSMUSG00000114255	UNCLASSIFIED	NA
ENSMUSG00000114256	UNCLASSIFIED	NA
ENSMUSG00000114264	UNCLASSIFIED	NA
ENSMUSG00000114267	UNCLASSIFIED	NA
ENSMUSG00000114270	UNCLASSIFIED	NA
ENSMUSG00000114274	UNCLASSIFIED	NA
ENSMUSG00000114277	P1_I9_M1	0.91
ENSMUSG00000114278	P2_I12_M13	0.92
ENSMUSG00000114284	UNCLASSIFIED	NA
ENSMUSG00000114298	P2_I12_M1	0.93
ENSMUSG00000114302	UNCLASSIFIED	NA
ENSMUSG00000114306	UNCLASSIFIED	NA
ENSMUSG00000114309	UNCLASSIFIED	NA
ENSMUSG00000114321	UNCLASSIFIED	NA
ENSMUSG00000114326	UNCLASSIFIED	NA
ENSMUSG00000114329	UNCLASSIFIED	NA
ENSMUSG00000114344	UNCLASSIFIED	NA
ENSMUSG00000114349	UNCLASSIFIED	NA
ENSMUSG00000114354	UNCLASSIFIED	NA
ENSMUSG00000114355	P1_I9_M2	0.85
ENSMUSG00000114357	UNCLASSIFIED	NA
ENSMUSG00000114360	UNCLASSIFIED	NA
ENSMUSG00000114362	UNCLASSIFIED	NA
ENSMUSG00000114369	UNCLASSIFIED	NA
ENSMUSG00000114370	P3_I9_M22	0.89
ENSMUSG00000114375	UNCLASSIFIED	NA
ENSMUSG00000114376	P2_I12_M12	0.85
ENSMUSG00000114378	P5_I8_M1	0.94
ENSMUSG00000114382	P1_I9_M4	0.98
ENSMUSG00000114389	UNCLASSIFIED	NA
ENSMUSG00000114399	UNCLASSIFIED	NA
ENSMUSG00000114400	P3_I9_M21	0.81
ENSMUSG00000114401	UNCLASSIFIED	NA
ENSMUSG00000114409	UNCLASSIFIED	NA
ENSMUSG00000114414	UNCLASSIFIED	NA
ENSMUSG00000114419	UNCLASSIFIED	NA
ENSMUSG00000114422	UNCLASSIFIED	NA
ENSMUSG00000114424	UNCLASSIFIED	NA
ENSMUSG00000114425	UNCLASSIFIED	NA
ENSMUSG00000114429	P3_I9_M10	0.88
ENSMUSG00000114430	P6_I6_M2	0.9
ENSMUSG00000114432	P3_I9_M3	0.91
ENSMUSG00000114433	UNCLASSIFIED	NA
ENSMUSG00000114436	P2_I12_M4	0.9
ENSMUSG00000114438	UNCLASSIFIED	NA
ENSMUSG00000114439	UNCLASSIFIED	NA
ENSMUSG00000114440	UNCLASSIFIED	NA
ENSMUSG00000114442	P2_I12_M6	0.85
ENSMUSG00000114443	UNCLASSIFIED	NA
ENSMUSG00000114446	UNCLASSIFIED	NA
ENSMUSG00000114452	UNCLASSIFIED	NA
ENSMUSG00000114456	UNCLASSIFIED	NA
ENSMUSG00000114469	P2_I12_M12	0.92
ENSMUSG00000114470	UNCLASSIFIED	NA
ENSMUSG00000114474	P4_I9_M15	0.8
ENSMUSG00000114477	UNCLASSIFIED	NA
ENSMUSG00000114481	UNCLASSIFIED	NA
ENSMUSG00000114487	P2_I12_M7	0.9
ENSMUSG00000114488	UNCLASSIFIED	NA
ENSMUSG00000114493	P9_I6_M1	0.88
ENSMUSG00000114498	UNCLASSIFIED	NA
ENSMUSG00000114500	UNCLASSIFIED	NA
ENSMUSG00000114512	P2_I12_M12	0.93
ENSMUSG00000114515	P1_I9_M4	0.91
ENSMUSG00000114516	UNCLASSIFIED	NA
ENSMUSG00000114522	UNCLASSIFIED	NA
ENSMUSG00000114524	UNCLASSIFIED	NA
ENSMUSG00000114526	UNCLASSIFIED	NA
ENSMUSG00000114532	UNCLASSIFIED	NA
ENSMUSG00000114535	UNCLASSIFIED	NA
ENSMUSG00000114536	UNCLASSIFIED	NA
ENSMUSG00000114538	UNCLASSIFIED	NA
ENSMUSG00000114539	UNCLASSIFIED	NA
ENSMUSG00000114540	P2_I12_M4	0.83
ENSMUSG00000114545	UNCLASSIFIED	NA
ENSMUSG00000114547	P2_I12_M8	0.87
ENSMUSG00000114553	UNCLASSIFIED	NA
ENSMUSG00000114554	UNCLASSIFIED	NA
ENSMUSG00000114557	UNCLASSIFIED	NA
ENSMUSG00000114558	UNCLASSIFIED	NA
ENSMUSG00000114563	UNCLASSIFIED	NA
ENSMUSG00000114568	UNCLASSIFIED	NA
ENSMUSG00000114569	P1_I9_M3	0.82
ENSMUSG00000114571	UNCLASSIFIED	NA
ENSMUSG00000114573	UNCLASSIFIED	NA
ENSMUSG00000114575	UNCLASSIFIED	NA
ENSMUSG00000114576	UNCLASSIFIED	NA
ENSMUSG00000114579	P5_I8_M10	0.82
ENSMUSG00000114582	P5_I8_M7	0.82
ENSMUSG00000114583	UNCLASSIFIED	NA
ENSMUSG00000114584	UNCLASSIFIED	NA
ENSMUSG00000114585	UNCLASSIFIED	NA
ENSMUSG00000114591	UNCLASSIFIED	NA
ENSMUSG00000114594	UNCLASSIFIED	NA
ENSMUSG00000114598	UNCLASSIFIED	NA
ENSMUSG00000114602	UNCLASSIFIED	NA
ENSMUSG00000114603	UNCLASSIFIED	NA
